source,time_period,geo_strat,geo_label,sex_strat,sex_label,age_strat,age_label,abm_strat,abm_label,ppop_strat,ppop_label,domain,measure_raw,measure_gfs,measure_unit,ind_strat,ind_label,est,error_type,error,lci,uci,releasability,prop
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,90-94,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",11564,NA,NA,NA,NA,yes,-11.7
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,0-4,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",185,NA,NA,NA,NA,yes,-0.9
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,5-9,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",9,NA,NA,NA,NA,yes,0
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,70-74,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",6660,NA,NA,NA,NA,yes,7.5
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,90-94,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",15798,NA,NA,NA,NA,yes,17.8
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,20-24,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",39,NA,NA,NA,NA,yes,0.2
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,40-44,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",160,NA,NA,NA,NA,yes,0.9
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,30-34,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",773,NA,NA,NA,NA,yes,-0.8
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,55-59,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",461,NA,NA,NA,NA,yes,2.5
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,75-79,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",3030,NA,NA,NA,NA,yes,-14.6
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,40-44,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",1391,NA,NA,NA,NA,yes,-1.4
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,10-14,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",57,NA,NA,NA,NA,yes,0.1
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,10-14,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",64,NA,NA,NA,NA,yes,-0.1
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,65-69,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",1633,NA,NA,NA,NA,yes,-7.9
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,85-89,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",3174,NA,NA,NA,NA,yes,17.5
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,90-94,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",2931,NA,NA,NA,NA,yes,16.2
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,45-49,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",219,NA,NA,NA,NA,yes,1.2
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,90-94,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",2234,NA,NA,NA,NA,yes,-10.8
