time_period,sex_strat,sex_label,age_strat,age_label,measure_raw,est,prop,hovertext_col
1971,sex_03,Females,age_0to100p_5y_21,0-4,population,88974,9.7,"Females
Year: 1971
Age group: 0-4 years
Proportion of population: 9.7%
Count:  88,974"
1971,sex_03,Females,age_0to100p_5y_21,10-14,population,90395,9.8,"Females
Year: 1971
Age group: 10-14 years
Proportion of population: 9.8%
Count:  90,395"
1971,sex_03,Females,age_0to100p_5y_21,15-19,population,81565,8.9,"Females
Year: 1971
Age group: 15-19 years
Proportion of population: 8.9%
Count:  81,565"
1971,sex_03,Females,age_0to100p_5y_21,20-24,population,76021,8.3,"Females
Year: 1971
Age group: 20-24 years
Proportion of population: 8.3%
Count:  76,021"
1971,sex_03,Females,age_0to100p_5y_21,25-29,population,63047,6.9,"Females
Year: 1971
Age group: 25-29 years
Proportion of population: 6.9%
Count:  63,047"
1971,sex_03,Females,age_0to100p_5y_21,30-34,population,53447,5.8,"Females
Year: 1971
Age group: 30-34 years
Proportion of population: 5.8%
Count:  53,447"
1971,sex_03,Females,age_0to100p_5y_21,35-39,population,49565,5.4,"Females
Year: 1971
Age group: 35-39 years
Proportion of population: 5.4%
Count:  49,565"
1971,sex_03,Females,age_0to100p_5y_21,40-44,population,52489,5.7,"Females
Year: 1971
Age group: 40-44 years
Proportion of population: 5.7%
Count:  52,489"
1971,sex_03,Females,age_0to100p_5y_21,45-49,population,52535,5.7,"Females
Year: 1971
Age group: 45-49 years
Proportion of population: 5.7%
Count:  52,535"
1971,sex_03,Females,age_0to100p_5y_21,5-9,population,89773,9.8,"Females
Year: 1971
Age group: 5-9 years
Proportion of population: 9.8%
Count:  89,773"
1971,sex_03,Females,age_0to100p_5y_21,50-54,population,48476,5.3,"Females
Year: 1971
Age group: 50-54 years
Proportion of population: 5.3%
Count:  48,476"
1971,sex_03,Females,age_0to100p_5y_21,55-59,population,43938,4.8,"Females
Year: 1971
Age group: 55-59 years
Proportion of population: 4.8%
Count:  43,938"
1971,sex_03,Females,age_0to100p_5y_21,60-64,population,37993,4.1,"Females
Year: 1971
Age group: 60-64 years
Proportion of population: 4.1%
Count:  37,993"
1971,sex_03,Females,age_0to100p_5y_21,65-69,population,30097,3.3,"Females
Year: 1971
Age group: 65-69 years
Proportion of population: 3.3%
Count:  30,097"
1971,sex_03,Females,age_0to100p_5y_21,70-74,population,25412,2.8,"Females
Year: 1971
Age group: 70-74 years
Proportion of population: 2.8%
Count:  25,412"
1971,sex_03,Females,age_0to100p_5y_21,75-79,population,17774,1.9,"Females
Year: 1971
Age group: 75-79 years
Proportion of population: 1.9%
Count:  17,774"
1971,sex_03,Females,age_0to100p_5y_21,80-84,population,10673,1.2,"Females
Year: 1971
Age group: 80-84 years
Proportion of population: 1.2%
Count:  10,673"
1971,sex_03,Females,age_0to100p_5y_21,85-89,population,4665,0.5,"Females
Year: 1971
Age group: 85-89 years
Proportion of population: 0.5%
Count:   4,665"
1971,sex_03,Females,age_0to100p_5y_21,90-94,population,1389,0.2,"Females
Year: 1971
Age group: 90-94 years
Proportion of population: 0.2%
Count:   1,389"
1971,sex_03,Females,age_0to100p_5y_21,95+,population,281,0,"Females
Year: 1971
Age group: 95+ years
Proportion of population: 0.0%
Count:     281"
1971,sex_03,Males,age_0to100p_5y_21,0-4,population,92816,-9.9,"Males
Year: 1971
Age group: 0-4 years
Proportion of population: 9.9%
Count:  92,816"
1971,sex_03,Males,age_0to100p_5y_21,10-14,population,95285,-10.2,"Males
Year: 1971
Age group: 10-14 years
Proportion of population: 10.2%
Count:  95,285"
1971,sex_03,Males,age_0to100p_5y_21,15-19,population,83401,-8.9,"Males
Year: 1971
Age group: 15-19 years
Proportion of population: 8.9%
Count:  83,401"
1971,sex_03,Males,age_0to100p_5y_21,20-24,population,79629,-8.5,"Males
Year: 1971
Age group: 20-24 years
Proportion of population: 8.5%
Count:  79,629"
1971,sex_03,Males,age_0to100p_5y_21,25-29,population,66938,-7.2,"Males
Year: 1971
Age group: 25-29 years
Proportion of population: 7.2%
Count:  66,938"
1971,sex_03,Males,age_0to100p_5y_21,30-34,population,56632,-6.1,"Males
Year: 1971
Age group: 30-34 years
Proportion of population: 6.1%
Count:  56,632"
1971,sex_03,Males,age_0to100p_5y_21,35-39,population,51856,-5.6,"Males
Year: 1971
Age group: 35-39 years
Proportion of population: 5.6%
Count:  51,856"
1971,sex_03,Males,age_0to100p_5y_21,40-44,population,55126,-5.9,"Males
Year: 1971
Age group: 40-44 years
Proportion of population: 5.9%
Count:  55,126"
