source,time_period,geo_strat,geo_label,sex_strat,sex_label,age_strat,age_label,abm_strat,abm_label,ppop_strat,ppop_label,domain,measure_raw,measure_gfs,measure_unit,ind_strat,ind_label,est,error_type,error,lci,uci,releasability,number
abs,1971,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,15.7,NA,NA,NA,NA,yes,932976
abs,1972,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,15.5,NA,NA,NA,NA,yes,956959
abs,1973,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,15.3,NA,NA,NA,NA,yes,984081
abs,1974,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,16.5,NA,NA,NA,NA,yes,1012648
abs,1975,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,14.5,NA,NA,NA,NA,yes,1033697
abs,1976,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,15,NA,NA,NA,NA,yes,1053535
abs,1977,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,13.8,NA,NA,NA,NA,yes,1071295
abs,1978,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,13.6,NA,NA,NA,NA,yes,1091582
abs,1979,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,13.3,NA,NA,NA,NA,yes,1112774
abs,1980,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,12.8,NA,NA,NA,NA,yes,1138297
abs,1981,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,13,NA,NA,NA,NA,yes,1178447
abs,1982,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,13.4,NA,NA,NA,NA,yes,1219369
abs,1983,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,12.1,NA,NA,NA,NA,yes,1248666
abs,1984,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,11.9,NA,NA,NA,NA,yes,1269559
abs,1985,state,Queensland,sex_03,Males,all_01,All,all_01,All,all_01,All,death,standardised death rates,deaths,asr2001 (per 1000),abs's data explorer deaths,standardised death rates,12.3,NA,NA,NA,NA,yes,1293238
